                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4255,                 1.1148,                 2.8284,                0.80755,                0.70884,                0.75792,                0.38683,                 3.2507,                 1.7049,                 2.6418,               0.006634,               0.006634,               0.006634
                     36,                 2.4313,                 1.1177,                 2.8285,                0.81007,                0.70947,                0.76328,                0.38989,                 3.2381,                  1.702,                 2.6346,               0.006535,               0.006535,               0.006535
                     37,                 2.4267,                 1.1049,                 2.8086,                0.80601,                0.72346,                0.76617,                 0.3913,                 3.2344,                 1.6966,                  2.634,               0.006436,               0.006436,               0.006436
                     38,                 2.4115,                 1.0947,                 2.8132,                0.81579,                0.71647,                0.76702,                 0.3939,                 3.2248,                  1.692,                 2.6298,               0.006337,               0.006337,               0.006337
                     39,                 2.4129,                 1.0976,                 2.8067,                0.81953,                0.72028,                0.77045,                0.39433,                 3.2177,                 1.6792,                 2.6282,               0.006238,               0.006238,               0.006238
                     40,                 2.4062,                 1.0929,                 2.8096,                0.81933,                0.72282,                0.77134,                0.39722,                 3.2145,                 1.6702,                 2.6234,               0.006139,               0.006139,               0.006139
                     41,                 2.4145,                 1.0909,                   2.81,                0.82456,                0.72305,                0.76976,                0.39716,                 3.2085,                 1.6776,                 2.6199,                0.00604,                0.00604,                0.00604
                     42,                 2.3945,                 1.0868,                  2.792,                0.82407,                0.72658,                0.77127,                0.39796,                 3.2059,                  1.674,                 2.6218,               0.005941,               0.005941,               0.005941
                     43,                 2.3887,                 1.0815,                 2.7903,                0.83896,                0.72201,                0.77544,                0.40015,                 3.2029,                 1.6657,                 2.6208,               0.005842,               0.005842,               0.005842
                     44,                 2.3844,                 1.0842,                 2.7965,                0.83017,                0.72664,                0.77024,                0.39861,                 3.2001,                 1.6644,                  2.619,               0.005743,               0.005743,               0.005743
                     45,                 2.3876,                 1.0812,                 2.7832,                0.83064,                0.72155,                0.77293,                0.39892,                 3.1965,                 1.6603,                 2.6193,               0.005644,               0.005644,               0.005644
                     46,                 2.3834,                  1.061,                 2.7909,                 0.8238,                0.72282,                0.77101,                0.39958,                 3.1936,                 1.6557,                 2.6178,               0.005545,               0.005545,               0.005545
                     47,                 2.3747,                 1.0523,                 2.7866,                0.82217,                0.72918,                0.77286,                0.40108,                 3.1936,                 1.6512,                 2.6174,               0.005446,               0.005446,               0.005446
                     48,                 2.3735,                 1.0595,                 2.7872,                 0.8236,                0.73045,                0.77246,                0.40272,                 3.1906,                 1.6507,                 2.6133,               0.005347,               0.005347,               0.005347
                     49,                 2.3708,                 1.0495,                 2.7784,                 0.8099,                 0.7349,                0.77076,                0.40216,                 3.1866,                 1.6469,                 2.6116,               0.005248,               0.005248,               0.005248
                     50,                  2.358,                 1.0442,                 2.7752,                0.81234,                0.73363,                0.77165,                0.40275,                 3.1801,                 1.6506,                 2.6092,               0.005149,               0.005149,               0.005149
                     51,                 2.3626,                 1.0416,                 2.7744,                0.81573,                0.73173,                0.76889,                0.40026,                 3.1797,                 1.6484,                 2.6089,                0.00505,                0.00505,                0.00505
